location_name,store_code,business_name,address,latitude,longitude,coord_status,status,has_vom,is_duplicate,is_suspended,has_pending_edits,maps_uri,fetched_at
locations/9607362347588748852,25570,FIFGROUP - Air Tiris,"Jl. Raya Pekanbaru - Bangkinang No.25 Air Tiris, Kec. Kampar, Kampar, Riau, 28463, ID",0.353544,101.102472,OK,Verification Required,False,False,False,False,https://maps.google.com/maps?cid=5062067521349707587,2026-06-02 13:18:54
locations/3533020972832484282,61171,FIFGROUP - Kotano Wuna,"5PGF+693 dekat MGM Jalan Gatot Subroto Raha II Kecamatan Katobu, Kabupaten Muna, Sulawesi Tenggara, 93614, ID",-4.8245036,122.7234495,OK,Verification Required,False,False,False,False,https://maps.google.com/maps?cid=17484024387404803161,2026-06-02 13:18:54
locations/14511879707704300415,16470,FIFGROUP - Ceplak,"RCVC+7C2 Sukamulya Kecamatan Sukamulya, Kabupaten Tangerang, Banten, 15610, ID",-6.1570749,106.4212615,OK,Verification Required,False,False,False,False,https://maps.google.com/maps?cid=13966756125278161825,2026-06-02 13:18:54
locations/8304908912703256907,83972,FIFGROUP - Cukir,"Jl. Mojowarno no 297 Kel. Cukir kec.Diwek, Jombang, Jawa timur, 61471, ID",,,MISSING,Verified,True,False,False,False,https://maps.google.com/maps?cid=12508408265620353168,2026-06-02 13:18:54
locations/12807935854498750862,55051,FIFGROUP - Marang Kayu,"Jl, Mulawarman, Sebuntal, Kec. Marang Kayu, Kutai Kartanegara, Kalimantan Timur, 75385, ID",-0.1152147,117.4313618,OK,Verification Required,False,False,False,False,,2026-06-02 13:18:54
locations/18284756787438755597,60774,FIFGROUP - Tadulako,"Jl. Ki Hajar Dewantara, Kecamatan Besusu Timur, Kota Palu, Sulawesi Tengah, Palu, Sulawesi Tengah, 94111, ID",-0.8927577,119.8847071,OK,Verification Required,False,False,False,False,,2026-06-02 13:18:54
locations/13736816696750946131,92975,FIFGROUP - Gemba,"M89X+5X9, Waimital, Kairatu, West Seram, Maluku, Indonesia, seram bagian timur, Maluku, 97566, ID",,,MISSING,Verification Required,False,False,False,False,,2026-06-02 13:18:54
locations/5681317285213036005,61075,FIFGROUP - Uentanaga Bawah,"Jl. Trans Sulawesi, Kecamatan Dondo, Kabupaten Tojo Una-Una Regency, Sulawesi, Tojo Una Una, Sulawesi Tengah, 94773, ID",-0.8604231,121.5986035,OK,Verification Required,False,False,False,False,,2026-06-02 13:18:54
locations/10872584977895553103,16473,FIFGROUP - Kawidaran,"Jl. Raya Tobat, Sentul Jaya, Kabupaten Tangerang, Banten, Tangerang, Banten, 15610, ID",-6.2143848,106.4433414,OK,Verification Required,False,False,False,False,,2026-06-02 13:18:54
locations/5688039331904274633,25571,FIFGROUP - Harapan Raya,"Kualu, Jl. Suka Karya Ujung Simpang 4, Tarai Bangun, Kec. Tambang, Pekanbaru, Riau, 28293, ID",0.4269116,101.3764719,OK,Verification Required,False,False,False,False,https://maps.google.com/maps?cid=13968477339423759433,2026-06-02 13:18:54
locations/6746711755836441017,10353,FIFGROUP - Poris Tangerang,"RT.002/RW.009 Poris Plawad Utara Kecamatan Cipondoh, Kota Tangerang, Banten, 15122, ID",-6.1852482,106.6673323,OK,Verification Required,False,False,False,False,https://maps.google.com/maps?cid=1202768656762128460,2026-06-02 13:18:54
